"","Name","City","State","Locale","Control","Cost_att","Federal_loan","Pell_Grant","Women","Dependent","Married","pct_white","pct_black","pct_hispanic","pct_asian","Low_income","Mid1_income","Mid2_income","High1_income","High2_income","Completion_rate","Monthly_debt","Mean_earning_6","Mean_earning_7","Mean_earning_8","Mean_earning_9","Mean_earning_10","Mean_earning_male_6","Mean_earning_female_6","Mean_earning_male_10","Mean_earning_female_10"
"282","Milan Institute-Visalia","Visalia","CA","City","Private",NA,0.9399999976,0.8199999928,0.8700000048,0.2800000012,0.25,59.8699989319,7.5,32.8699989319,7.2699999809,0.7752715121,0.142021721,0.0593149541,0.0125313283,0.0108604845,NA,95.4876431997176,21700,23800,24300,26200,26400,20900,25900,24700,35300
"283","Clovis Adult Education","Clovis","CA","Suburb","Public",NA,0,1,0.9700000286,0.1199999973,0.349999994,56.6300010681,5.3499999046,39.5099983215,8.3800001144,0.780104712,0.1518324607,NA,NA,NA,NA,NA,32700,36500,34600,39000,34900,NA,NA,NA,NA
"284","Coastline Community College","Fountain Valley","CA","City","Public",14431,0.3400000036,0.9100000262,0.6000000238,0.1899999976,0.349999994,56.9399986267,4.7600002289,29.2099990845,17.9699993134,0.6815181518,0.2112211221,0.0940594059,0.0104510451,0.002750275,NA,54.283717032866,33100,35600,36700,35500,37000,30300,36900,34300,41000
"285","Cogswell College","Sunnyvale","CA","City","Private",28780,0.9399999976,0.5600000024,0.1199999973,0.7099999785,0.0399999991,65.9300003052,3.2699999809,17.6700000763,17.3099994659,0.403125,0.140625,0.140625,0.1375,0.178125,NA,322.217804551467,39900,57800,59700,52200,59100,NA,NA,NA,NA
"286","Coleman University","San Diego","CA","City","Private",31965,0.9499999881,0.5299999714,0.2099999934,0.3100000024,0.25,65.8600006104,6.2100000381,26.8500003815,8.7100000381,0.5769230769,0.1807692308,0.1153846154,0.05,0.0769230769,NA,310.192668759234,40100,41400,42500,51200,52600,34600,41400,50500,53100
"287","COBA Academy","Orange","CA","City","Private",NA,0.9399999976,0.5600000024,0.8700000048,0.5,0.1299999952,61.8300018311,2.4700000286,35.7099990845,12.970000267,0.7924528302,NA,NA,NA,NA,NA,118.602166900093,19900,NA,NA,NA,NA,NA,NA,NA,NA
"288","Western University of Health Sciences","Pomona","CA","Suburb","Private",NA,1,0,0.6899999976,0.0099999998,0.200000003,58.3300018311,5.2899999619,33.4199981689,13.6499996185,NA,NA,NA,NA,NA,NA,NA,87000,118300,130400,135800,134100,NA,NA,108400,168100
"289","Columbia College","Sonora","CA","Rural","Public",13179,0.0099999998,1,0.6100000143,0.3700000048,0.1899999976,86.8399963379,2.1700000763,10.3400001526,1.6299999952,0.7690607735,0.1337016575,0.0817679558,NA,NA,NA,NA,24200,25000,27700,27100,29400,22600,26700,25900,37300
"290","Columbia College-Hollywood","Tarzana","CA","City","Private",32663,0.9399999976,0.6100000143,0.2899999917,0.6499999762,0.0399999991,70.1399993896,9.2399997711,20.3099994659,6.1700000763,0.4388185654,0.1603375527,0.1097046414,0.1054852321,0.1856540084,NA,258.731705012077,30700,33700,35200,NA,NA,NA,NA,NA,NA
"291","El Camino College-Compton Center","Compton","CA","Suburb","Public",13736,0.0399999991,0.9900000095,0.7099999785,0.3600000143,0.0900000036,25.7099990845,30.6599998474,53.8800010681,4.5999999046,0.7658267859,0.1533459767,0.0736927662,NA,NA,NA,NA,25800,29800,31700,33200,34800,24000,29200,31700,40000
"292","Contra Costa College","San Pablo","CA","Suburb","Public",12949,0.0900000036,0.9800000191,0.6700000167,0.3799999952,0.1599999964,39.0800018311,25.2399997711,25.1100006104,15.6300001144,0.7484599589,0.1555441478,0.0836755647,NA,NA,NA,NA,28300,31300,33400,34500,35300,28400,28100,34800,36200
"293","Cosumnes River College","Sacramento","CA","City","Public",13953,0.1400000006,0.9800000191,0.6200000048,0.5,0.2199999988,52.4700012207,13.4200000763,18.6800003052,16.5799999237,0.7268374431,0.1663873593,0.0873832894,0.0165190328,0.0028728753,NA,98.2276784404242,24700,27900,29100,31500,33000,23300,26900,31400,35600
"294","Crafton Hills College","Yucaipa","CA","Rural","Public",16292,0.0299999993,0.9900000095,0.6200000048,0.4600000083,0.1899999976,69.1699981689,6.1999998093,28.0599994659,4.5700001717,0.6797680412,0.1978092784,0.1082474227,NA,NA,NA,NA,29800,32000,33700,35100,35500,25900,35600,30100,45100
